# Constructed from biom file
#OTU ID	mgm4517706.3	mgm4517705.3	mgm4517704.3	mgm4517707.3	ontology
K00003	0.0	0.0	2575.0	0.0	Metabolism; Amino acid metabolism; 00260 Glycine, serine and threonine metabolism [PATH:ko00260]; E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	0.0	39.0	45.0	0.0	Metabolism; Carbohydrate metabolism; 00650 Butanoate metabolism [PATH:ko00650]; BDH, butB; (R,R)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.303]
K00007	1897.0	2220.0	2478.0	1741.0	Metabolism; Carbohydrate metabolism; 00040 Pentose and glucuronate interconversions [PATH:ko00040]; dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00011	705.0	0.0	0.0	761.0	Metabolism; Carbohydrate metabolism; 00040 Pentose and glucuronate interconversions [PATH:ko00040]; E1.1.1.21, AKR1; aldehyde reductase [EC:1.1.1.21]
K00012	1875.0	1788.0	1987.0	1859.0	Metabolism; Carbohydrate metabolism; 00040 Pentose and glucuronate interconversions [PATH:ko00040]; UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	2084.0	2340.0	2639.0	1967.0	Metabolism; Amino acid metabolism; 00340 Histidine metabolism [PATH:ko00340]; hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00016	1553.0	1523.0	1606.0	1395.0	Metabolism; Amino acid metabolism; 00270 Cysteine and methionine metabolism [PATH:ko00270]; LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00020	1693.0	1502.0	1722.0	1589.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; E1.1.1.31, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	3026.0	0.0	0.0	2947.0	Metabolism; Metabolism of terpenoids and polyketides; 00900 Terpenoid backbone biosynthesis [PATH:ko00900]; E1.1.1.34; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	1688.0	1448.0	1598.0	1643.0	Metabolism; Amino acid metabolism; 00280 Valine, leucine and isoleucine degradation [PATH:ko00280]; HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00024	1789.0	648.0	718.0	1776.0	Metabolism; Carbohydrate metabolism; 00020 Citrate cycle (TCA cycle) [PATH:ko00020]; mdh; malate dehydrogenase [EC:1.1.1.37]
K00031	686.0	1123.0	1194.0	652.0	Cellular Processes; Transport and catabolism; 04146 Peroxisome [PATH:ko04146]; IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
